iter	Passed	Remaining
0	2	213
1	4	218
2	10	354
3	14	338
4	16	308
5	18	283
6	20	278
7	24	283
8	26	272
9	29	266
10	31	257
11	45	336
12	48	327
13	51	316
14	57	325
15	61	320
16	63	310
17	66	304
18	75	322
19	77	310
20	79	299
21	83	297
22	90	304
23	93	294
24	96	289
25	106	302
26	108	293
27	111	286
28	113	278
29	121	283
30	126	281
31	128	273
32	130	265
33	139	269
34	142	264
35	145	258
36	151	258
37	156	255
38	158	247
39	160	240
40	167	241
41	168	232
42	170	225
43	172	218
44	173	212
45	181	213
46	183	207
47	186	201
48	187	195
49	190	190
50	199	191
51	201	186
52	206	182
53	210	179
54	211	173
55	214	168
56	217	163
57	219	158
58	222	154
59	228	152
60	230	147
61	232	142
62	234	137
63	245	138
64	269	144
65	279	143
66	281	138
67	283	133
68	292	131
69	294	126
70	296	121
71	300	116
72	302	111
73	306	107
74	308	102
75	310	97
76	314	94
77	320	90
78	321	85
79	324	81
80	326	76
81	329	72
82	331	67
83	333	63
84	335	59
85	336	54
86	338	50
87	341	46
88	343	42
89	344	38
90	350	34
91	352	30
92	354	26
93	355	22
94	356	18
95	358	14
96	359	11
97	362	7
98	363	3
99	365	0
