iter	Passed	Remaining
0	141	140928
1	145	72814
2	148	49388
3	150	37570
4	153	30519
5	155	25781
6	161	22848
7	221	27437
8	226	24939
9	229	22750
10	231	20845
11	234	19269
12	236	17932
13	238	16804
14	240	15808
15	242	14932
16	245	14179
17	307	16752
18	309	15965
19	311	15263
20	317	14807
21	319	14216
22	322	13687
23	324	13188
24	326	12730
25	333	12490
26	335	12088
27	337	11714
28	339	11370
29	342	11066
30	355	11126
31	358	10831
32	365	10710
33	367	10448
34	369	10183
35	371	9935
36	372	9702
37	381	9650
38	383	9446
39	385	9260
40	388	9079
41	395	9020
42	397	8846
43	399	8673
44	400	8509
45	402	8350
46	407	8261
47	410	8133
48	411	7994
49	413	7863
50	415	7738
51	417	7612
52	424	7585
53	426	7468
54	428	7355
55	429	7245
56	431	7138
57	433	7036
58	440	7022
59	441	6923
60	443	6828
61	445	6737
62	449	6681
63	472	6907
64	474	6825
65	476	6744
66	478	6668
67	481	6597
68	490	6611
69	492	6546
70	494	6474
71	497	6405
72	504	6401
73	508	6367
74	511	6302
75	513	6244
76	515	6182
77	517	6120
78	520	6068
79	522	6009
80	528	5995
81	530	5943
82	531	5876
83	534	5830
84	537	5790
85	545	5801
86	548	5752
87	569	5902
88	574	5881
89	576	5833
90	579	5786
91	581	5739
92	585	5705
93	587	5657
94	594	5663
95	597	5630
96	600	5586
97	602	5549
98	609	5544
99	611	5501
100	613	5459
101	615	5416
102	617	5375
103	623	5375
104	626	5337
105	628	5300
106	630	5262
107	632	5224
108	640	5234
109	644	5211
110	646	5174
111	648	5138
112	653	5130
113	656	5101
114	658	5067
115	660	5033
116	662	4996
117	673	5031
118	675	5000
119	677	4970
120	679	4939
121	686	4940
122	691	4927
123	693	4898
124	695	4869
125	704	4884
126	705	4851
127	707	4821
128	710	4794
129	718	4807
130	720	4782
131	726	4778
132	737	4805
133	739	4778
134	755	4843
135	764	4854
136	783	4935
137	785	4909
138	788	4881
139	796	4890
140	798	4864
141	799	4831
142	801	4805
143	804	4779
144	809	4773
145	812	4751
146	815	4731
147	817	4707
148	825	4713
149	831	4710
150	833	4686
151	836	4664
152	845	4679
153	847	4656
154	849	4632
155	857	4640
156	859	4616
157	864	4604
158	866	4581
159	874	4590
160	875	4563
161	877	4541
162	909	4671
163	911	4648
164	914	4626
165	924	4642
166	926	4620
167	928	4599
168	930	4577
169	936	4572
170	940	4557
171	942	4536
172	944	4516
173	973	4622
174	977	4605
175	988	4628
176	990	4605
177	992	4584
178	994	4562
179	996	4541
180	999	4521
181	1001	4500
182	1003	4481
183	1006	4462
184	1009	4448
185	1016	4446
186	1017	4425
187	1020	4407
188	1022	4386
189	1023	4364
190	1030	4362
191	1031	4342
192	1034	4326
193	1036	4306
194	1039	4290
195	1041	4271
196	1043	4251
197	1044	4231
198	1046	4211
199	1047	4190
200	1053	4185
201	1056	4174
202	1059	4158
203	1061	4141
204	1063	4122
205	1069	4123
206	1071	4105
207	1073	4086
208	1075	4068
209	1076	4050
210	1078	4032
211	1085	4033
212	1087	4017
213	1089	4001
214	1091	3986
215	1093	3970
216	1102	3977
217	1104	3960
218	1105	3942
219	1107	3926
220	1109	3909
221	1110	3893
222	1114	3883
223	1116	3867
224	1118	3852
225	1120	3837
226	1122	3823
227	1129	3825
228	1131	3809
229	1133	3794
230	1135	3778
231	1136	3763
232	1138	3749
233	1142	3738
234	1144	3724
235	1146	3710
236	1148	3696
237	1150	3683
238	1157	3685
239	1159	3671
240	1161	3657
241	1164	3647
242	1166	3634
243	1170	3625
244	1172	3612
245	1174	3599
246	1176	3586
247	1178	3573
248	1186	3577
249	1188	3565
250	1190	3552
251	1192	3539
252	1194	3527
253	1218	3579
254	1220	3567
255	1223	3554
256	1224	3541
257	1226	3528
258	1234	3532
259	1236	3519
260	1238	3507
261	1241	3496
262	1250	3505
263	1252	3492
264	1255	3483
265	1258	3472
266	1266	3477
267	1273	3479
268	1289	3505
269	1297	3508
270	1299	3496
271	1301	3483
272	1303	3471
273	1305	3459
274	1313	3462
275	1315	3449
276	1317	3438
277	1319	3426
278	1321	3416
279	1330	3421
280	1332	3409
281	1334	3398
282	1350	3420
283	1352	3408
284	1354	3398
285	1362	3401
286	1364	3390
287	1366	3379
288	1369	3368
289	1376	3369
290	1378	3358
291	1380	3347
292	1382	3336
293	1384	3325
294	1392	3327
295	1410	3355
296	1413	3345
297	1415	3334
298	1417	3324
299	1426	3327
300	1428	3317
301	1431	3307
302	1433	3296
303	1442	3303
304	1444	3292
305	1446	3281
306	1462	3300
307	1464	3290
308	1473	3294
309	1475	3284
310	1477	3273
311	1499	3305
312	1505	3304
313	1507	3294
314	1510	3283
315	1512	3273
316	1514	3262
317	1520	3261
318	1522	3250
319	1524	3239
320	1526	3229
321	1533	3229
322	1535	3218
323	1537	3207
324	1539	3196
325	1540	3185
326	1542	3174
327	1545	3166
328	1547	3156
329	1549	3145
330	1550	3134
331	1552	3123
332	1559	3123
333	1561	3112
334	1562	3101
335	1564	3092
336	1566	3081
337	1567	3071
338	1575	3071
339	1577	3062
340	1579	3052
341	1582	3043
342	1584	3034
343	1586	3024
